subject.t0,Reason
Q42340800,No sitelink found
Q53232354,No sitelink found
Q43258335,No sitelink found
Q16943273,No sitelink found
Q17107754,No sitelink found
Q20732178,No sitelink found
Q19354595,No sitelink found
Q24035935,No sitelink found
Q28554232,No sitelink found
Q18222363,No sitelink found
Q25068498,No sitelink found
Q3101956,No sitelink found
Q3092391,No sitelink found
Q3149794,No sitelink found
Q3427141,No sitelink found
Q4859935,No abstract found
Q18917143,No sitelink found
Q10311599,No sitelink found
Q20827654,No sitelink found
Q20853486,No sitelink found
Q20853488,No sitelink found
Q20853492,No sitelink found
Q20853493,No sitelink found
Q20853497,No sitelink found
Q20853501,No sitelink found
Q20853505,No sitelink found
Q20853551,No sitelink found
Q20853581,No sitelink found
Q20853589,No sitelink found
Q3286842,No sitelink found
Q12735025,No sitelink found
Q24255738,No sitelink found
Q25816604,No sitelink found
Q29962399,No sitelink found
Q43083764,No sitelink found
Q1403337,No sitelink found
Q1946885,No sitelink found
Q14429969,No sitelink found
Q5822492,No sitelink found
Q823679,No sitelink found
Q1538058,No sitelink found
Q3156368,No sitelink found
Q3174980,No sitelink found
Q3371941,No sitelink found
Q5956197,No sitelink found
Q18250114,No sitelink found
Q20789812,No sitelink found
Q23815932,No sitelink found
Q29571371,No sitelink found
Q37831935,No sitelink found
Q43806942,No sitelink found
Q5993564,No sitelink found
Q5890437,No sitelink found
Q3263048,No sitelink found
Q7914767,No sitelink found
Q86200,No sitelink found
Q90234,No sitelink found
Q110385,No sitelink found
Q321114,No sitelink found
Q834795,No sitelink found
Q1491473,No abstract found
Q1635365,No sitelink found
Q2013847,No sitelink found
Q2853887,No sitelink found
Q2866973,No sitelink found
Q2883699,No sitelink found
Q3103373,No sitelink found
Q3109758,No sitelink found
Q3164024,No sitelink found
Q3170220,No sitelink found
Q3337416,No sitelink found
Q3439531,No sitelink found
Q3627593,No sitelink found
Q4011115,No sitelink found
Q4078454,No sitelink found
Q4255151,No sitelink found
Q5702179,No sitelink found
Q5865017,No sitelink found
Q5893198,No sitelink found
Q5949452,No sitelink found
Q5976790,No sitelink found
Q5983685,No sitelink found
Q6014627,No sitelink found
Q6125669,No abstract found
Q9011240,No sitelink found
Q9054043,No sitelink found
Q11034701,No sitelink found
Q11731076,No sitelink found
Q16518914,No sitelink found
Q18529391,No sitelink found
Q18529411,No sitelink found
Q18627736,No sitelink found
Q18972845,No sitelink found
Q19946901,No sitelink found
Q20819165,No sitelink found
Q20871892,No sitelink found
Q20898222,No sitelink found
Q22826166,No sitelink found
Q29018635,No sitelink found
Q30001868,No sitelink found
Q41485543,No sitelink found
Q45129378,No sitelink found
Q22022100,No sitelink found
Q1204879,No abstract found
Q38573645,No sitelink found
Q52210564,No sitelink found
Q1604499,No sitelink found
Q2831342,No sitelink found
Q3131657,No sitelink found
Q3370422,No sitelink found
Q5772730,No sitelink found
Q11410358,No sitelink found
Q11534528,No sitelink found
Q11597785,No sitelink found
Q11881652,No sitelink found
Q18122730,No sitelink found
Q18509082,No sitelink found
Q18814790,No sitelink found
Q20059851,No sitelink found
