instance_of,predicate,count_qids
federal republic,mains voltage,1
federal republic,main regulatory text,1
federal republic,lowest point,1
federal republic,located in/on physical feature,1
federal republic,located in time zone,1
federal republic,literacy rate,1
federal republic,life expectancy,1
federal republic,licence plate code,1
federal republic,legislative body,1
federal republic,language used,1
federal republic,instance of,1
federal republic,inception,1
federal republic,history of topic,1
federal republic,highest point,1
federal republic,highest judicial authority,1
federal republic,head of state,1
federal republic,office held by head of government,1
federal republic,number of out-of-school children,1
federal republic,nominal GDP,1
federal republic,native label,1
federal republic,named after,1
federal republic,name in native language,1
federal republic,motto text,1
federal republic,motto,1
federal republic,most populous urban area,1
federal republic,mobile country code,1
federal republic,minimum temperature record,1
federal republic,member of,1
federal republic,marriageable age,1
federal republic,maritime identification digits,1
federal republic,male population,1
federal republic,maintained by WikiProject,1
federal republic,shares border with,1
federal republic,rural population,1
federal republic,replaces,1
federal republic,railway traffic side,1
federal republic,population,1
federal republic,permanent duplicated item,1
federal republic,participant in,1
federal republic,part of,1
federal republic,open data portal,1
federal republic,on focus list of Wikimedia project,1
federal republic,official website,1
federal republic,official religion,1
federal republic,official observer status in organisation,1
federal republic,official name,1
federal republic,official language,1
federal republic,office held by head of state,1
fictional country,basic form of government,1
fictional cat,sex or gender,1
fictional cat,present in work,1
fictional cat,instance of,1
fictional cat,eye color,1
fictional cat,color,1
federal republic,urban population,1
federal republic,unemployment rate,1
federal republic,trunk prefix,1
federal republic,total fertility rate,1
federal republic,topic's main template,1
federal republic,topic's main category,1
federal republic,topic's main Wikimedia portal,1
federal republic,top-level Internet domain,1
federal republic,suicide rate,1
federal republic,significant event,1
fictional extraterrestrial,contributor to the creative work or subject,1
fictional duo,sidekick of,1
fictional duo,present in work,1
fictional duo,performer,1
fictional duo,narrative role,1
fictional duo,manner of death,1
fictional duo,killed by,1
fictional duo,instance of,1
fictional duo,has part(s) of the class,1
fictional duo,contributor to the creative work or subject,1
fictional duo,character type,1
fictional deity,from narrative universe,1
fictional deity,country of citizenship,1
fictional country,instance of,1
fictional country,from narrative universe,1
fictional country,creator,1
fictional group of characters,character type,1
fictional fish,sidekick of,1
fictional fish,present in work,1
fictional fish,performer,1
fictional fish,narrative role,1
fictional fish,manner of death,1
fictional fish,killed by,1
fictional fish,instance of,1
fictional fish,has part(s) of the class,1
fictional fish,contributor to the creative work or subject,1
fictional fish,character type,1
fictional extraterrestrial,sidekick of,1
fictional extraterrestrial,present in work,1
fictional extraterrestrial,performer,1
fictional extraterrestrial,narrative role,1
fictional extraterrestrial,instance of,1
Wikidata property to identify astronomical objects,country,1
Wikidata property to identify astronomical objects,class of non-item property value,1
Wikidata property to identify astronomical objects,Wikidata property example,1
Wikidata property to identify astronomical objects,URL match pattern,1
Wikidata property related to women and feminism,subproperty of,1
Wikidata property related to women and feminism,related property,1
Wikidata property related to women and feminism,property usage tracking category,1
fictional group of characters,sidekick of,1
fictional group of characters,present in work,1
fictional group of characters,performer,1
fictional group of characters,narrative role,1
fictional group of characters,manner of death,1
fictional group of characters,killed by,1
fictional group of characters,instance of,1
fictional group of characters,has part(s) of the class,1
fictional group of characters,contributor to the creative work or subject,1
fictional human,competition won,1
fictional human,commander of (DEPRECATED),1
fictional human,catalog code,1
fictional human,birthday,1
fictional human,award received,1
fictional human,armament,1
fictional human,academic degree,1
Wikidata property to identify books,Wikidata property example,1
Wikidata property to identify books,URL match pattern,1
Wikidata property to identify astronomical objects,search formatter URL,1
Wikidata property to identify astronomical objects,related property,1
Wikidata property to identify astronomical objects,property usage tracking category,1
Wikidata property to identify astronomical objects,property constraint,1
Wikidata property to identify astronomical objects,instance of,1
Wikidata property to identify astronomical objects,formatter URL,1
Wikidata property to identify astronomical objects,format as a regular expression,1
fictional human,developer,1
fictional human,described at URL,1
Wikidata property related to women and feminism,property proposal discussion,1
Wikidata property related to women and feminism,property constraint,1
Wikidata property related to women and feminism,inverse property,1
Wikidata property related to women and feminism,inverse label item,1
Wikidata property related to women and feminism,instance of,1
Wikidata property related to women and feminism,external superproperty,1
Wikidata property related to women and feminism,equivalent property,1
Wikidata property related to women and feminism,complementary property,1
Wikidata property related to women and feminism,category for value same as Wikidata,1
Wikidata property related to women and feminism,Wikidata property example,1
Wikidata property related to women and feminism,Wikidata item of this property,1
Wikidata property related to websites,subproperty of,1
Wikidata property related to websites,subject has role,1
Wikidata property related to websites,stability of property value,1
fictional human,godparent,1
fictional human,field of work,1
Wikidata property related to websites,format as a regular expression,1
Wikidata property related to websites,equivalent property,1
Wikidata property related to websites,corresponding HTML autocomplete attribute,1
Wikidata property related to websites,Wikidata usage instructions,1
Wikidata property related to weapons and military equipment,source website for the property,1
Wikidata property related to weapons and military equipment,property proposal discussion,1
Wikidata property related to weapons and military equipment,property constraint,1
Wikidata property related to weapons and military equipment,instance of,1
Wikidata property related to weapons and military equipment,format as a regular expression,1
Wikidata property related to weapons and military equipment,country,1
Wikidata property related to weapons and military equipment,Wikidata property example,1
Wikidata property related to weapons and military equipment,Wikidata item of this property,1
fictional human,facet of,1
fictional human,educated at,1
Wikidata property related to transport,property proposal discussion,1
Wikidata property related to transport,property constraint,1
Wikidata property related to transport,instance of,1
Wikidata property related to transport,format as a regular expression,1
Wikidata property related to transport,external superproperty,1
Wikidata property related to transport,Wikidata property example,1
Wikidata property related to transport,Wikidata item of this property,1
Wikidata property related to transport,OpenStreetMap tag or key,1
Wikidata property related to tourism,source website for the property,1
Wikidata property related to tourism,related property,1
Wikidata property related to tourism,property usage tracking category,1
Wikidata property related to tourism,property proposal discussion,1
Wikidata property related to tourism,property constraint,1
Wikidata property related to tourism,issued by,1
fictional human,height,1
fictional human,handedness,1
Wikidata property related to theater,formatter URL,1
Wikidata property related to theater,format as a regular expression,1
Wikidata property related to theater,applicable 'stated in' value,1
fictional human,opposite of,1
fictional human,operating system,1
fictional human,native label,1
fictional human,narrative age,1
fictional human,name,1
fictional human,model,1
fictional human,military casualty classification,1
fictional human,military branch,1
fictional human,medical condition,1
fictional human,mass,1
fictional human,last words,1
Wikidata property related to transport,subproperty of,1
Wikidata property related to transport,related property,1
fictional human,pseudonym,1
fictional human,place of burial,1
fictional human,owner of,1
Wikidata property related to tourism,instance of,1
Wikidata property related to tourism,formatter URL,1
Wikidata property related to tourism,format as a regular expression,1
Wikidata property related to tourism,applicable 'stated in' value,1
Wikidata property related to tourism,Wikidata property example,1
Wikidata property related to tourism,URL match pattern,1
Wikidata property related to tourism,OpenStreetMap tag or key,1
Wikidata property related to theater,source website for the property,1
Wikidata property related to theater,search formatter URL,1
Wikidata property related to theater,qualifier for this property,1
Wikidata property related to theater,property constraint,1
Wikidata property related to theater,number of records,1
Wikidata property related to theater,instance of,1
fictional human,topic's main category,1
fictional human,subject has role,1
fictional human,student,1
fictional human,start time,1
fictional human,sport number,1
fictional human,sport,1
fictional human,sexual orientation,1
Wikidata property related to theater,Wikidata property example,1
Wikidata property related to theater,URL match pattern,1
Wikidata property related to the United Nations,stability of property value,1
Wikidata property related to the United Nations,source website for the property,1
Wikidata property related to the United Nations,short name,1
Wikidata property related to the United Nations,issued by,1
Wikidata property related to the United Nations,equivalent property,1
Wikidata property related to the United Nations,category for value same as Wikidata,1
fictional human,publication date,1
fictional humanoid,creator,1
fictional humanoid,color,1
fictional humanoid,character type,1
fictional humanoid,based on,1
fictional humanoid,Commons category,1
fictional human,worshipped by,1
fictional human,work location,1
fictional human,vehicle normally used,1
Wikidata property related to the United Nations,category for value not in Wikidata,1
Wikidata property related to the United Nations,category for value different from Wikidata,1
Wikidata property related to the United Nations,Wikidata usage instructions,1
Wikidata property related to the Middle Ages,subproperty of,1
Wikidata property related to the Middle Ages,stability of property value,1
Wikidata property related to the Middle Ages,related property,1
Wikidata property related to the Middle Ages,formatter URL,1
fictional human,tribe,1
fictional organism,contributor to the creative work or subject,1
fictional organism,cause of death,1
fictional humanoid,significant person,1
fictional humanoid,sidekick of,1
fictional humanoid,sex or gender,1
fictional humanoid,said to be the same as,1
fictional humanoid,publication date,1
fictional humanoid,occupation,1
fictional humanoid,"languages spoken, written or signed",1
fictional humanoid,instrument,1
fictional humanoid,inspired by,1
fictional humanoid,inception,1
fictional humanoid,from narrative universe,1
fictional humanoid,field of work,1
fictional humanoid,family name,1
fictional humanoid,eye color,1
fictional planet,creator,1
fictional owl,sex or gender,1
fictional owl,residence,1
fictional owl,present in work,1
fictional owl,media franchise,1
fictional owl,instance of,1
fictional owl,from narrative universe,1
fictional owl,eye color,1
fictional owl,color,1
fictional organism,sex or gender,1
fictional organism,present in work,1
fictional organism,performer,1
fictional organism,occupation,1
fictional organism,narrative role,1
fictional organism,manner of death,1
fictional organism,instance of,1
fictional political party,present in work,1
fictional political party,political ideology,1
fictional political party,political alignment,1
fictional political party,party chief representative,1
fictional political party,number of seats,1
fictional political party,instance of,1
fictional political party,followed by,1
fictional political party,country,1
fictional political party,based on,1
fictional planet,sex or gender,1
fictional planet,publication date,1
fictional planet,present in work,1
fictional planet,performer,1
fictional planet,media franchise,1
fictional planet,instance of,1
fictional planet,from narrative universe,1
fictional shark,instance of,1
fictional shark,given name,1
fictional shark,father,1
fictional shark,family name,1
fictional shark,creator,1
fictional robot,significant person,1
fictional robot,sidekick of,1
fictional robot,said to be the same as,1
fictional robot,present in work,1
fictional robot,performer,1
fictional robot,narrative role,1
fictional robot,instance of,1
fictional robot,field of work,1
fictional robot,character type,1
fictional robot,based on,1
fictional robot,Commons category,1
fictional vigilante,"languages spoken, written or signed",1
fictional vigilante,hair color,1
fictional vigilante,from narrative universe,1
fictional vigilante,first appearance,1
fictional vigilante,described at URL,1
fictional vigilante,date of birth,1
fictional vigilante,creator,1
fictional vigilante,country of citizenship,1
fictional vigilante,birth name,1
fictional shark,sibling,1
fictional shark,sex or gender,1
fictional shark,present in work,1
fictional shark,performer,1
fictional shark,manner of death,1
fictional shark,lifestyle,1
fictional shark,last words,1
fictional writer,country of citizenship,1
fictional writer,color,1
fictional writer,based on,1
fictional virus,sex or gender,1
fictional virus,present in work,1
fictional virus,performer,1
fictional virus,occupation,1
fictional virus,narrative role,1
fictional virus,manner of death,1
fictional virus,instance of,1
fictional virus,contributor to the creative work or subject,1
fictional virus,cause of death,1
fictional vigilante,voice actor,1
fictional vigilante,subject has role,1
fictional vigilante,performer,1
fictional vigilante,media franchise,1
Wikidata property related to the Ancient World,Wikidata item of this property,1
Wikidata property related to television,property usage tracking category,1
Wikidata property related to television,property proposal discussion,1
Wikidata property related to television,property constraint,1
Wikidata property related to television,instance of,1
fictional young boy,cast member,1
fictional writer,sex or gender,1
fictional writer,present in work,1
fictional writer,performer,1
fictional writer,occupation,1
fictional writer,media franchise,1
fictional writer,instance of,1
fictional writer,inspired by,1
fictional writer,hair color,1
fictional writer,from narrative universe,1
fictional writer,eye color,1
Wikidata property related to sports people,subproperty of,1
Wikidata property related to sports people,short name,1
fictional young boy,member of sports team,1
fictional young boy,member of,1
fictional young boy,instrument,1
fictional young boy,date of birth,1
Wikidata property related to the Middle Ages,country,1
Wikidata property related to the Middle Ages,applicable 'stated in' value,1
Wikidata property related to the Middle Ages,Wikidata usage instructions,1
Wikidata property related to the Middle Ages,Wikidata item of this property,1
Wikidata property related to the Middle Ages,URL match pattern,1
Wikidata property related to the Ancient World,property usage tracking category,1
Wikidata property related to the Ancient World,property proposal discussion,1
Wikidata property related to the Ancient World,property constraint,1
Wikidata property related to the Ancient World,instance of,1
Wikidata property related to the Ancient World,Wikidata property example,1
film,CNC film rating (Romania),1
film,CNC film rating (France),1
film,BBFC rating,1
fictional young boy,sport,1
fictional young boy,sibling,1
fictional young boy,relative,1
Wikidata property related to television,category for value same as Wikidata,1
Wikidata property related to television,Wikidata property example,1
Wikidata property related to television,Wikidata item of this property,1
Wikidata property related to sports teams/clubs,related property,1
Wikidata property related to sports teams/clubs,property usage tracking category,1
Wikidata property related to sports teams/clubs,property proposal discussion,1
Wikidata property related to sports teams/clubs,property constraint,1
Wikidata property related to sports teams/clubs,instance of,1
Wikidata property related to sports teams/clubs,Wikidata property example,1
Wikidata property related to sports teams/clubs,Wikidata item of this property,1
Wikidata property related to sport organizations,property proposal discussion,1
Wikidata property related to sport organizations,property constraint,1
film,assessment,1
film,aspect ratio (W:H),1
film,RTC film rating,1
film,RCQ classification,1
film,RARS rating,1
film,NMHH film rating,1
film,Medierådet rating,1
film,MPA film rating,1
film,INCAA film rating,1
film,IMDA rating,1
film,IFCO rating,1
film,FPB rating,1
film,EIRIN film rating,1
film,ClassInd rating,1
film,capital cost,1
film,box office,1
film,award received,1
Wikidata property related to sports people,Wikidata property example,1
Wikidata property related to sports people,Wikidata item of this property,1
Wikidata property related to sports events,subproperty of,1
Wikidata property related to sports events,related property,1
Wikidata property related to sports events,property usage tracking category,1
Wikidata property related to sports events,property proposal discussion,1
Wikidata property related to sports events,property constraint,1
Wikidata property related to sports events,instance of,1
Wikidata property related to sports events,Wikidata property example,1
Wikidata property related to sports events,Wikidata item of this property,1
Wikidata property related to sport organizations,short name,1
Wikidata property related to sport organizations,related property,1
Wikidata property related to sport organizations,property usage tracking category,1
film,main subject,1
film,item operated,1
film,has edition or translation,1
film,has characteristic,1
film,followed by,1
film,film crew member,1
film,fabrication method,1
Wikidata property related to sport organizations,instance of,1
Wikidata property related to spacecraft,third-party formatter URL,1
Wikidata property related to spacecraft,country,1
Wikidata property related to spacecraft,category for value not in Wikidata,1
Wikidata property related to software,subproperty of,1
Wikidata property related to software,related property,1
film,executive producer,1
film,costume designer,1
film,characters,1
Wikidata property related to software,URL match pattern,1
film,storyboard artist,1
film,sport,1
film,soundtrack release,1
film,social media followers,1
film,significant event,1
film,set in period,1
film,review score,1
film,research project that contributed to this data set,1
film,production designer,1
film,performer,1
film,part of the series,1
film,official website,1
film,nominated for,1
film,named after,1
film,maintained by WikiProject,1
Wikidata property related to road transport,Wikidata item of this property,1
film character,cast member,1
film character,award received,1
film character,armament,1
film,working title,1
film,theme music,1
film,takes place in fictional universe,1
Wikidata property related to software,male form of label,1
Wikidata property related to software,maintained by WikiProject,1
Wikidata property related to software,inverse label item,1
Wikidata property related to software,has characteristic,1
Wikidata property related to software,formatter URL,1
Wikidata property related to software,female form of label,1
Wikidata property related to software,category for value same as Wikidata,1
Wikidata property related to software,applicable 'stated in' value,1
Wikidata property related to software,Wikidata usage instructions,1
film character,derivative work,1
Wikidata property related to seismology,property proposal discussion,1
Wikidata property related to seismology,property constraint,1
Wikidata property related to seismology,instance of,1
Wikidata property related to seismology,Wikidata item of this property,1
Wikidata property related to road transport,subproperty of,1
Wikidata property related to road transport,stability of property value,1
Wikidata property related to road transport,short name,1
Wikidata property related to road transport,related property,1
Wikidata property related to road transport,property usage tracking category,1
Wikidata property related to road transport,property proposal discussion,1
Wikidata property related to road transport,property constraint,1
Wikidata property related to road transport,instance of,1
Wikidata property related to road transport,category for value same as Wikidata,1
Wikidata property related to road transport,Wikidata usage instructions,1
Wikidata property related to road transport,Wikidata property example,1
Wikidata property related to research,Wikidata property example,1
Wikidata property related to research,URL match pattern,1
Wikidata property related to religions and beliefs,subproperty of,1
Wikidata property related to religions and beliefs,related property,1
Wikidata property related to religions and beliefs,property usage tracking category,1
Wikidata property related to religions and beliefs,property proposal discussion,1
Wikidata property related to religions and beliefs,property constraint,1
film character,instrument,1
film character,inception,1
film character,has characteristic,1
film character,hairstyle / hairlength,1
film character,godparent,1
film character,fictional or mythical analog of,1
film character,facial hair,1
film character,ethnic group,1
film character,described at URL,1
Wikidata property related to rail transport,Wikidata usage instructions,1
Wikidata property related to rail transport,Wikidata property example,1
Wikidata property related to rail transport,Wikidata item of this property,1
film character,official website,1
film character,native label,1
film character,model,1
film character,member of sports team,1
Wikidata property related to research,related property,1
Wikidata property related to research,property usage tracking category,1
Wikidata property related to research,property proposal discussion,1
Wikidata property related to research,property constraint,1
Wikidata property related to research,issued by,1
Wikidata property related to research,instance of,1
Wikidata property related to research,formatter URL,1
Wikidata property related to research,format as a regular expression,1
Wikidata property related to research,applicable 'stated in' value,1
Wikidata property related to processes and manufacturing,Wikidata property example,1
film character,sexual orientation,1
film character,pseudonym,1
Wikidata property related to religions and beliefs,instance of,1
Wikidata property related to religions and beliefs,equivalent property,1
Wikidata property related to religions and beliefs,Wikidata property example,1
Wikidata property related to religions and beliefs,Wikidata item of this property,1
Wikidata property related to rail transport,subproperty of,1
Wikidata property related to rail transport,stability of property value,1
Wikidata property related to rail transport,short name,1
Wikidata property related to rail transport,related property,1
Wikidata property related to rail transport,property usage tracking category,1
Wikidata property related to rail transport,property proposal discussion,1
Wikidata property related to rail transport,property constraint,1
Wikidata property related to rail transport,instance of,1
Wikidata property related to rail transport,category for value same as Wikidata,1
film character,significant event,1
Wikidata property related to protected areas,stability of property value,1
Wikidata property related to protected areas,source website for the property,1
Wikidata property related to protected areas,property usage tracking category,1
Wikidata property related to protected areas,property proposal discussion,1
Wikidata property related to protected areas,property constraint,1
Wikidata property related to protected areas,issued by,1
Wikidata property related to protected areas,instance of,1
Wikidata property related to protected areas,Wikidata usage instructions,1
Wikidata property related to protected areas,Wikidata property example,1
Wikidata property related to protected areas,Wikidata item of this property,1
Wikidata property related to protected areas,OpenStreetMap tag or key,1
Wikidata property related to processes and manufacturing,related property,1
Wikidata property related to processes and manufacturing,property proposal discussion,1
Wikidata property related to processes and manufacturing,property constraint,1
Wikidata property related to processes and manufacturing,instance of,1
fire department,phone number,1
fire department,official website,1
fire department,located in the administrative territorial entity,1
fire department,instance of,1
fire department,inception,1
fire department,fax number,1
fire department,email address,1
fire department,disabled accessibility,1
fire department,country,1
fire department,coordinate location,1
fire department,Wi-Fi access,1
fire department,Commons category,1
film character,worshipped by,1
film character,uses,1
film character,topic's main category,1
film character,sport,1
former hospital,Commons category,1
former entity,replaced by,1
former entity,named after,1
former entity,located in the administrative territorial entity,1
former entity,instance of,1
former entity,date of official opening,1
former entity,date of official closure,1
former entity,coordinate location,1
former entity,continent,1
former entity,Commons category,1
folklore character,sex or gender,1
folklore character,instance of,1
folklore character,facet of,1
folklore character,country of citizenship,1
folklore character,Commons category,1
fire department,street address,1
fossil taxon,endemic to,1
fossil taxon,described by source,1
former hospital,street address,1
former hospital,start time,1
former hospital,parent organization,1
former hospital,named after,1
former hospital,location,1
former hospital,located in the statistical territorial entity,1
former hospital,located in the administrative territorial entity,1
former hospital,instance of,1
former hospital,inception,1
former hospital,has part(s),1
former hospital,end time,1
former hospital,country,1
former hospital,coordinate location,1
former hospital,archives at,1
frazione,country,1
frazione,coordinate location,1
frazione,continent,1
frazione,Commons category,1
fossil taxon,taxon synonym,1
fossil taxon,taxon author citation,1
Wikidata property related to places,subproperty of,1
Wikidata property related to places,stability of property value,1
Wikidata property related to places,short name,1
Wikidata property related to places,property usage tracking category,1
Wikidata property related to places,external superproperty,1
Wikidata property related to places,OpenStreetMap tag or key,1
fossil taxon,original combination,1
fossil taxon,host,1
fossil taxon,has fruit type,1
fossil taxon,has basionym,1
freguesia of Portugal,legislative body,1
freguesia of Portugal,instance of,1
freguesia of Portugal,inception,1
freguesia of Portugal,country,1
freguesia of Portugal,coordinate location,1
freguesia of Portugal,contains settlement,1
freguesia of Portugal,authority,1
freguesia of Portugal,area,1
freguesia of Portugal,Commons category,1
frazione,postal code,1
frazione,patron saint,1
frazione,located in time zone,1
frazione,located in the administrative territorial entity,1
frazione,local dialing code,1
frazione,instance of,1
frazione,elevation above sea level,1
fundamental Wikidata entity,related property,1
fundamental Wikidata entity,property usage tracking category,1
fundamental Wikidata entity,property constraint,1
fundamental Wikidata entity,maintained by WikiProject,1
fundamental Wikidata entity,inverse label item,1
fundamental Wikidata entity,instance of,1
fundamental Wikidata entity,equivalent property,1
fundamental Wikidata entity,category for value same as Wikidata,1
fundamental Wikidata entity,category for value not in Wikidata,1
fundamental Wikidata entity,Wikidata usage instructions,1
fundamental Wikidata entity,Wikidata property example,1
fundamental Wikidata entity,Wikidata item of this property,1
freguesia of Portugal,short name,1
freguesia of Portugal,replaces,1
freguesia of Portugal,official name,1
freguesia of Portugal,located in the administrative territorial entity,1
gender,model item,1
gender,instance of,1
gender,hashtag,1
gender,has characteristic,1
gender,exact match,1
gender,different from,1
gender,Wikidata usage instructions,1
gender,Unicode character,1
gender,Commons category,1
gelding,significant event,1
gelding,sex or gender,1
gelding,instance of,1
gelding,animal breed,1
fundamental Wikidata entity,transitive over,1
fundamental Wikidata entity,stability of property value,1
fundamental Wikidata entity,source website for the property,1
gender identity,part of,1
gender identity,opposite of,1
gender identity,instance of,1
gender identity,hashtag,1
gender identity,has characteristic,1
gender identity,exact match,1
gender identity,different from,1
gender identity,depicted by,1
gender identity,Wikidata usage instructions,1
gender identity,Unicode character,1
gender identity,NCI Thesaurus ID,1
gender identity,Commons category,1
gender,topic's main category,1
gender,short name,1
gender,part of,1
gender,opposite of,1
group of humans,Commons category,1
group of fictional characters,present in work,1
group of fictional characters,performer,1
group of fictional characters,narrative role,1
group of fictional characters,instance of,1
group of fictional characters,has part(s) of the class,1
Wikidata property related to photography,stability of property value,1
Wikidata property related to mineralogy,source website for the property,1
Wikidata property related to mineralogy,property proposal discussion,1
Wikidata property related to mineralogy,property constraint,1
Wikidata property related to mineralogy,instance of,1
Wikidata property related to mineralogy,format as a regular expression,1
group of fictional characters,contributor to the creative work or subject,1
gender identity,topic's main category,1
gender identity,subclass of,1
gender identity,short name,1
group or class of humans,date of death,1
group or class of humans,date of birth,1
group or class of humans,country of citizenship,1
group or class of humans,birth name,1
group or class of humans,Wikidata usage instructions,1
group or class of humans,Commons category,1
group or class of humans,Commons Creator page,1
group of humans,religious order,1
group of humans,religion or worldview,1
group of humans,point in time,1
group of humans,place of burial,1
group of humans,occupation,1
group of humans,located in the administrative territorial entity,1
group of humans,killed by,1
group of humans,feast day,1
group of humans,diocese,1
group or class of humans,partially coincident with,1
group or class of humans,on focus list of Wikimedia project,1
group or class of humans,occupation,1
group or class of humans,native language,1
group or class of humans,name in native language,1
group or class of humans,"languages spoken, written or signed",1
group or class of humans,instance of,1
group or class of humans,hashtag,1
group or class of humans,has works in the collection,1
group or class of humans,has characteristic,1
group or class of humans,given name,1
group or class of humans,female form of label,1
group or class of humans,family name,1
group or class of humans,ethnic group,1
group or class of humans,different from,1
group or class of humans,described by source,1
hairstyling technique,instance of,1
hairstyling technique,country of origin,1
group or class of humans,writing language,1
group or class of humans,topic's main category,1
group or class of humans,subject has role,1
group or class of humans,subclass of,1
Wikidata property related to mineralogy,applicable 'stated in' value,1
Wikidata property related to mineralogy,Wikidata property example,1
"Wikidata property related to method, methodology or mode of actions",subproperty of,1
"Wikidata property related to method, methodology or mode of actions",property usage tracking category,1
Wikidata property related to medicine,stability of property value,1
Wikidata property related to medicine,official website,1
group or class of humans,sexual orientation,1
group or class of humans,sex or gender,1
group or class of humans,place of death,1
group or class of humans,place of birth,1
heritage register,location,1
heritage register,laws applied,1
heritage register,instance of,1
heritage register,end time,1
heritage register,edition number,1
heritage register,dataset distribution,1
heritage register,country,1
heritage register,applies to jurisdiction,1
heritage register,URL,1
hamlet,time of earliest written record,1
hamlet,official language,1
hamlet,located in or next to body of water,1
hamlet,inception,1
hamlet,capital of,1
hamlet,Commons category,1
hairstyling technique,subclass of,1
high proper-motion star,instance of,1
high proper-motion star,epoch,1
high proper-motion star,effective temperature,1
high proper-motion star,distance from Earth,1
high proper-motion star,declination component of proper motion,1
high proper-motion star,declination,1
high proper-motion star,constellation,1
high proper-motion star,catalog code,1
high proper-motion star,apparent magnitude,1
heritage register,start time,1
heritage register,significant event,1
heritage register,publisher,1
heritage register,publication interval,1
heritage register,publication date,1
heritage register,official website,1
heritage register,main subject,1
hill,instance of,1
hill,elevation above sea level,1
hill,country,1
hill,coordinate location,1
high proper-motion star,surface gravity,1
high proper-motion star,spectral class,1
high proper-motion star,right ascension component of proper motion,1
high proper-motion star,right ascension,1
Wikidata property related to medicine,number of records,1
Wikidata property related to medicine,maintained by WikiProject,1
Wikidata property related to medicine,expected completeness,1
Wikidata property related to medicine,equivalent property,1
Wikidata property related to medicine,described by source,1
Wikidata property related to medicine,country,1
high proper-motion star,radial velocity,1
high proper-motion star,parallax,1
Wikidata property related to media reviews and content ratings,property constraint,1
Wikidata property related to media reviews and content ratings,instance of,1
Wikidata property related to media reviews and content ratings,Wikidata usage instructions,1
Wikidata property related to media reviews and content ratings,Wikidata property example,1
Wikidata property related to law and justice,source website for the property,1
Wikidata property related to law and justice,related property,1
Wikidata property related to law and justice,property proposal discussion,1
Wikidata property related to law and justice,property constraint,1
Wikidata property related to law and justice,instance of,1
Wikidata property related to law and justice,Wikidata property example,1
Wikidata property related to law and justice,Wikidata item of this property,1
Wikidata property related to games and leisure activities,subproperty of,1
Wikidata property related to games and leisure activities,property proposal discussion,1
historical country,authority,1
hill,mountain range,1
hill,located in the administrative territorial entity,1
Wikidata property related to food and eating,external data available at URL,1
Wikidata property related to food and eating,expected completeness,1
historical event,instance of,1
historical country,time period,1
historical country,shares border with,1
historical country,population,1
historical country,permanent duplicated item,1
historical country,official name,1
historical country,member of,1
historical country,located in the present-day administrative territorial entity,1
historical country,"languages spoken, written or signed",1
historical country,history of topic,1
historical country,different from,1
historical country,coordinate location,1
Wikidata property related to media reviews and content ratings,source website for the property,1
Wikidata property related to media reviews and content ratings,property proposal discussion,1
historical region,has part(s) of the class,1
historical region,has part(s),1
historical region,different from,1
historical region,coordinate location,1
historical region,basic form of government,1
historical event,participant,1
historical event,number of casualties,1
historical event,location,1
Wikidata property related to games and leisure activities,property constraint,1
Wikidata property related to games and leisure activities,instance of,1
Wikidata property related to games and leisure activities,Wikidata property example,1
Wikidata property related to games and leisure activities,Wikidata item of this property,1
Wikidata property related to food and eating,property usage tracking category,1
Wikidata property related to food and eating,number of records,1
Wikidata property related to food and eating,has characteristic,1
Wikidata property related to food and eating,format as a regular expression,1
hospital,coordinate location,1
hospital,archives at,1
hospital,Commons category,1
horse,participated in conflict,1
horse,owned by,1
horse,occupation,1
horse,mass,1
horse,floruit,1
Wikidata property related to food and eating,country,1
Wikidata property related to food and eating,class of non-item property value,1
Wikidata property related to food and eating,applicable 'stated in' value,1
Wikidata property related to food and eating,URL,1
Wikidata property related to encyclopedias,official website,1
Wikidata property related to encyclopedias,has characteristic,1
horse,country,1
historical region,instance of,1
hotel,fax number,1
hotel,email address,1
hotel,country,1
hotel,coordinate location,1
hospital,street address,1
hospital,start time,1
hospital,parent organization,1
hospital,named after,1
hospital,location,1
hospital,located in the statistical territorial entity,1
hospital,located in the administrative territorial entity,1
hospital,instance of,1
hospital,inception,1
hospital,has part(s),1
hospital,end time,1
hospital,country,1
house elf,from narrative universe,1
house elf,date of death,1
house elf,creator,1
house elf,charge,1
hotel,postal code,1
hotel,phone number,1
hotel,payment types accepted,1
hotel,operator,1
hotel,official website,1
hotel,official name,1
hotel,located on street,1
hotel,located in the administrative territorial entity,1
hotel,instance of,1
hotel,inception,1
hotel,historic county,1
hotel,has use,1
http://www.wikidata.org/entity/Q112132573,inception,1
http://www.wikidata.org/entity/Q112132573,has part(s),1
http://www.wikidata.org/entity/Q112132573,has facility,1
http://www.wikidata.org/entity/Q112132573,employees,1
http://www.wikidata.org/entity/Q112132573,country,1
http://www.wikidata.org/entity/Q112132573,coordinate location,1
http://www.wikidata.org/entity/Q112132573,collection or exhibition size,1
http://www.wikidata.org/entity/Q112132573,area,1
http://www.wikidata.org/entity/Q112132573,Wi-Fi access,1
house elf,sex or gender,1
house elf,present in work,1
house elf,owned by,1
house elf,occupation,1
house elf,media franchise,1
house elf,manner of death,1
house elf,instance of,1
http://www.wikidata.org/entity/Q112132573,street address,1
http://www.wikidata.org/entity/Q112132573,postal code,1
http://www.wikidata.org/entity/Q112132573,official website,1
